飞机,神经元,6
飞机,神经元,51
飞机,神经元,93
飞机,神经元,105
飞机,神经元,112
飞机,神经元,137
飞机,神经元,143
飞机,神经元,176
飞机,神经元,207
飞机,神经元,289
飞机,神经元,137
飞机,神经元,93
飞机,神经元,378
飞机,神经元,497
飞机,神经元,345
飞机,神经元,405
飞机,神经元,90
飞机,神经元,41
飞机,神经元,318
飞机,神经元,292
飞机,关键神经元,79
79,层数,28
79,功能,机头
79,权重,0.8743801116943359
79,图片,28C79.jpg
79,相关神经元,29
79,相关神经元,327
飞机,关键神经元,207
207,层数,28
207,功能,机身
207,权重,0.8414415121078491
207,图片,28C207.jpg
207,相关神经元,480
207,相关神经元,162
飞机,关键神经元,203
203,层数,28
203,功能,轮胎
203,权重,0.8386096954345703
203,图片,28C203.jpg
203,相关神经元,319
203,相关神经元,56
飞机,关键神经元,56
56,层数,28
56,功能,其他
56,权重,0.6905702948570251
56,图片,28C56.jpg
56,相关神经元,310
56,相关神经元,318
飞机,关键神经元,41
41,层数,28
41,功能,机翼
41,权重,0.6661556363105774
41,图片,28C41.jpg
41,相关神经元,258
41,相关神经元,410
飞机,关键神经元,176
176,层数,28
176,功能,机尾
176,权重,0.5972951054573059
176,图片,28C176.jpg
176,相关神经元,74
176,相关神经元,294
